IATA_CODE,DOT_Code,Cities,State,DOT_Airport_Name,IATA_Airport_Name
EWR,11618,Newark,NJ,Newark Liberty International,Newark Liberty International Airport
EYW,11624,Key West,FL,Key West International,Key West International Airport
FAI,11630,Fairbanks,AK,Fairbanks International,Fairbanks International Airport
FAR,11637,Fargo,ND,Hector International,Hector International Airport
FAT,11638,Fresno,CA,Fresno Yosemite International,Fresno Yosemite International Airport
FAY,11641,Fayetteville,NC,Fayetteville Regional/Grannis Field,Fayetteville Regional Airport
FCA,11648,Kalispell,MT,Glacier Park International,Glacier Park International Airport
FLG,11695,Flagstaff,AZ,Flagstaff Pulliam,Flagstaff Pulliam Airport
FLL,11697,Fort Lauderdale,FL,Fort Lauderdale-Hollywood International,Fort Lauderdale-Hollywood International Airport
FNT,11721,Flint,MI,Bishop International,Bishop International Airport
FSD,11775,Sioux Falls,SD,Joe Foss Field,Sioux Falls Regional Airport
FSM,11778,Fort Smith,AR,Fort Smith Regional,Fort Smith Regional Airport
FWA,11823,Fort Wayne,IN,Fort Wayne International,Fort Wayne International Airport
GCC,11865,Gillette,WY,Northeast Wyoming Regional,Gillette-Campbell County Airport
GCK,11867,Garden City,KS,Garden City Regional,Garden City Regional Airport
GEG,11884,Spokane,WA,Spokane International,Spokane International Airport
GFK,11898,Grand Forks,ND,Grand Forks International,Grand Forks International Airport
GGG,11905,Longview,TX,East Texas Regional,East Texas Regional Airport
GJT,11921,Grand Junction,CO,Grand Junction Regional,Grand Junction Regional Airport (Walker Field)
GNV,11953,Gainesville,FL,Gainesville Regional,Gainesville Regional Airport
GPT,11973,Gulfport/Biloxi,MS,Gulfport-Biloxi International,Gulfport-Biloxi International Airport
GRB,11977,Green Bay,WI,Green Bay Austin Straubel International,Green Bay-Austin Straubel International Airport
GRI,11980,Grand Island,NE,Central Nebraska Regional,Central Nebraska Regional Airport
GRK,11982,Killeen,TX,Robert Gray AAF,Killeen-Fort Hood Regional Airport
GRR,11986,Grand Rapids,MI,Gerald R. Ford International,Gerald R. Ford International Airport
GSO,11995,Greensboro/High Point,NC,Piedmont Triad International,Piedmont Triad International Airport
GSP,11996,Greer,SC,Greenville-Spartanburg International,Greenville-Spartanburg International Airport
GTF,12003,Great Falls,MT,Great Falls International,Great Falls International Airport
GTR,12007,Columbus,MS,Golden Triangle Regional,Golden Triangle Regional Airport
GUM,12016,Guam,TT,Guam International,Guam International Airport
HDN,12094,Hayden,CO,Yampa Valley,Yampa Valley Airport (Yampa Valley Regional)
HIB,12129,Hibbing,MN,Range Regional,Range Regional Airport (Chisholm-Hibbing Airport)
HLN,12156,Helena,MT,Helena Regional,Helena Regional Airport
HNL,12173,Honolulu,HI,Daniel K Inouye International,Honolulu International Airport
HOB,12177,Hobbs,NM,Lea County Regional,Lea County Regional Airport
HOU,12191,Houston,TX,William P Hobby,William P. Hobby Airport
HPN,12197,White Plains,NY,Westchester County,Westchester County Airport
HRL,12206,Harlingen/San Benito,TX,Valley International,Valley International Airport
HSV,12217,Huntsville,AL,Huntsville International-Carl T Jones Field,Huntsville International Airport
HYS,12255,Hays,KS,Hays Regional,Hays Regional Airport
IAD,12264,Washington,DC,Washington Dulles International,Washington Dulles International Airport
IAG,12265,Niagara Falls,NY,Niagara Falls International,Niagara Falls International Airport
IAH,12266,Houston,TX,George Bush Intercontinental/Houston,George Bush Intercontinental Airport
ICT,12278,Wichita,KS,Wichita Dwight D Eisenhower National,Wichita Dwight D. Eisenhower National Airport (Wichita Mid-Continent Airport)
IDA,12280,Idaho Falls,ID,Idaho Falls Regional,Idaho Falls Regional Airport
ILM,12323,Wilmington,NC,Wilmington International,Wilmington International Airport
IMT,12335,Iron Mountain/Kingsfd,MI,Ford,Ford Airport
IND,12339,Indianapolis,IN,Indianapolis International,Indianapolis International Airport
INL,12343,International Falls,MN,Falls International Einarson Field,Falls International Airport
ISN,12389,Williston,ND,Sloulin Field International,Sloulin Field International Airport
ISP,12391,Islip,NY,Long Island MacArthur,Long Island MacArthur Airport
ITO,12402,Hilo,HI,Hilo International,Hilo International Airport
JAC,12441,Jackson,WY,Jackson Hole,Jackson Hole Airport
JAN,12448,Jackson/Vicksburg,MS,Jackson Medgar Wiley Evers International,Jackson-Evers International Airport
JAX,12451,Jacksonville,FL,Jacksonville International,Jacksonville International Airport
JFK,12478,New York,NY,John F. Kennedy International,John F. Kennedy International Airport (New York International Airport)
JLN,12511,Joplin,MO,Joplin Regional,Joplin Regional Airport
JMS,12519,Jamestown,ND,Jamestown Regional,Jamestown Regional Airport
JNU,12523,Juneau,AK,Juneau International,Juneau International Airport
KOA,12758,Kona,HI,Ellison Onizuka Kona International at Keahole,Kona International Airport at Keahole
KTN,12819,Ketchikan,AK,Ketchikan International,Ketchikan International Airport
LAN,12884,Lansing,MI,Capital Region International,Capital Region International Airport ( Lansing Capital City)
