Destination_Airport Origin_Airport  Distance 
BDL  	CLT  	644
DFW  	RSW  	1017
CLE  	RDU  	416
ATL  	GTR  	241
SFO  	OGG  	2338
DFW  	CLT  	936
OKC  	IAH  	395
PHX  	RDU  	1891
MEM  	AUS  	559
BWI  	JAX  	663
LAX  	BWI  	2329
AGS  	ATL  	143
ORD  	BUF  	473
IAD  	ORD  	589
PSP  	PHX  	261
LFT  	DEN  	978
ABY  	ATL  	145
IAH  	GRR  	1042
RSW  	BWI  	919
ABQ  	SAN  	628
ANC  	OME  	539
GRR  	ORD  	137
DFW  	SNA  	1205
DFW  	CLE  	1021
JMS  	DEN  	573
ORD  	MKE  	67
EVV  	ORD  	273
DFW  	DEN  	641
IAH  	BFL  	1428
ORF  	DFW  	1212
LAX  	CLT  	2125
ITO  	OGG  	121
DAL  	BNA  	623
ISN  	DEN  	576
MHT  	BWI  	377
BNA  	CMH  	337
DAL  	SFO  	1476
SYR  	ORD  	607
IAD  	PVD  	372
SFO  	STL  	1735
TPA  	SAT  	972
DFW  	LAX  	1235
DFW  	SAV  	925
AUS  	DEN  	775
CMH  	DCA  	323
IAH  	CVG  	871
DFW  	BHM  	597
SNA  	MDW  	1731
SAV  	BOS  	901
CLT  	PDX  	2282
DFW  	OAK  	1457
DTW  	PHX  	1671
DEN  	ANC  	2405
ABQ  	IAH  	744
SEA  	LAS  	867
CLE  	PHX  	1737
AUS  	MDW  	972
RSW  	TTN  	1028
ANC  	ORD  	2846
SAN  	SLC  	626
RIC  	ATL  	481
ATL  	RIC  	481
LAX  	SAN  	109
DEN  	RKS  	260
DEN  	MAF  	563
SLC  	SFO  	599
ATL  	SMF  	2092
DTW  	SDF  	306
AUS  	ORD  	977
SAN  	JFK  	2446
PHX  	SEA  	1107
BIS  	DEN  	516
AUS  	MIA  	1103
RDU  	DTW  	501
AUS  	EWR  	1504
ORD  	BIL  	1060
BNA  	PHL  	675
LGA  	CLT  	544
CWA  	ORD  	213
DEN  	BUR  	850
MSO  	DEN  	679
MDW  	PVD  	842
SAV  	EWR  	708
DTW  	ALB  	489
DFW  	HOU  	247
CLT  	ROC  	573
CMH  	DFW  	926
EWR  	SNA  	2434
LGA  	LIT  	1085
ATL  	JFK  	760
AUS  	PHL  	1430
DEN  	MOT  	604
LGB  	SFO  	354
MKE  	BWI  	641
XNA  	CVG  	562
RDU  	DEN  	1436
IAD  	CLE  	288
TYS  	DFW  	772
CLT  	MCI  	808
CVG  	IAD  	388
DFW  	FSD  	737
PDX  	STL  	1708
MEM  	IAH  	468
CVG  	ORD  	265
MLI  	MSP  	274
ORD  	CHO  	566
EAU  	ORD  	269
PHX  	HNL  	2917
SUN  	SFO  	587
ORD  	CWA  	213
MDW  	BWI  	611
MIA  	TPA  	204
ORD  	BOS  	867
AUS  	SEA  	1770
BUR  	SFO  	326
PHX  	ATL  	1587
DFW  	SAF  	551
MCO  	BQN  	1129
ROC  	MCO  	1033
ATL  	ABQ  	1269
DFW  	ASE  	701
LAX  	EUG  	748
AUS  	MSY  	444
PHL  	BNA  	675
DAL  	BWI  	1209
CLT  	SMF  	2244
DEN  	DRO  	251
MEM  	LAX  	1619
LGA  	CVG  	585
JFK  	PIT  	340
HOU  	TUL  	453
SLC  	COD  	298
ATL  	HOU  	696
ATL  	OAJ  	399
MSP  	AUS  	1042
LGB  	ANC  	2360
MCI  	CLT  	808
ROC  	TPA  	1079
STC  	ORD  	394
DFW  	IAH  	224
IND  	ORD  	177
LAS  	DFW  	1055
LIT  	BWI  	912
STL  	MCI  	237
ORD  	DSM  	299
BUF  	ORD  	473
ATL  	VPS  	250
PIT  	DAL  	1060
MSP  	TUS  	1298
CLE  	BDL  	476
SAT  	BNA  	822
SFO  	FLL  	2583
STL  	FLL  	1057
ACK  	BOS  	91
PBI  	JFK  	1028
BWI  	MDW  	611
DTW  	AUS  	1149
TPA  	DAL  	917
KOA  	OAK  	2378
CLE  	DCA  	310
HOU  	LAX  	1390
DFW  	MCO  	985
BHM  	MCO  	479
ATL  	CLE  	554
ILM  	CLT  	185
SLC  	EUG  	618
SFO  	ACV  	250
LBB  	LAS  	775
DCA  	IAH  	1208
EGE  	IAH  	934
MSP  	ICT  	545
JFK  	EGE  	1746
MOT  	MSP  	449
IAH  	SAN  	1303
ORD  	OAK  	1836
DEN  	FSD  	483
MSP  	BZN  	874
TTN  	MDW  	683
SEA  	DCA  	2329
JFK  	PWM  	273
IAD  	MEM  	742
TPA  	CLE  	927
HOU  	DAL  	239
TUS  	MDW  	1440
CHO  	ORD  	566
DSM  	DTW  	533
LAS  	LBB  	775
RSW  	CLT  	600
LAX  	SMX  	134
TPA  	SEA  	2520
PBI  	DEN  	1679
CLT  	ORD  	599
SYR  	ATL  	794
ATL  	TRI  	227
ALB  	TPA  	1130
DCA  	CHS  	444
ATL  	DTW  	594
FLL  	MKE  	1243
OMA  	LAX  	1330
BGR  	LGA  	378
LSE  	ORD  	215
MCO  	SJU  	1189
LAS  	MKE  	1524
MCI  	SEA  	1489
PHX  	DCA  	1979
JFK  	BQN  	1576
CLE  	ORD  	315
DCA  	EWR  	199
CAK  	ATL  	528
ABQ  	LAX  	677
PHX  	MTJ  	419
SBA  	SFO  	262
ATL  	FAR  	1123
MIA  	AUS  	1103
TUL  	MIA  	1168
MIA  	CVG  	948
SJU  	MSP  	2404
AUS  	JFK  	1521
DFW  	FAR  	968
ATL  	AEX  	500
GSP  	DFW  	862
BUF  	DTW  	241
ORF  	ATL  	516
ABQ  	MDW  	1121
LAS  	IAD  	2065
AUS  	ATL  	813
CLT  	AUS  	1032
FLL  	SJU  	1046
DTW  	SAN  	1956
SDF  	MSP  	604
BOS  	HOU  	1609
HOU  	LGA  	1428
DRO  	PHX  	351
DEN  	BWI  	1491
PHX  	SDF  	1506
MKE  	DAL  	850
TYS  	LGA  	647
SAT  	PHX  	843
FAI  	BRW  	503
CVG  	BOS  	752
PDX  	LGB  	846
DFW  	SPI  	630
ATL  	PDX  	2172
STL  	RSW  	979
MDW  	SJC  	1838
DFW  	GJT  	773
MCO  	BWI  	787
BWI  	PWM  	452
PHX  	MSY  	1300
IAH  	IAD  	1190
JFK  	SRQ  	1041
MKE  	DFW  	853
ATL  	CLT  	226
SLC  	LWS  	461
OKC  	SLC  	866
SFO  	SEA  	679
PHL  	BOS  	280
ABQ  	DAL  	580
PDX  	ANC  	1542
PHX  	SFO  	651
RSW  	MDW  	1105
SFO  	MKE  	1845
SLC  	SUN  	222
ALB  	BWI  	289
DSM  	ATL  	743
EWR  	PDX  	2434
SAN  	BOS  	2588
MSN  	MSP  	228
MCO  	MDT  	851
DEN  	TPA  	1506
YAK  	CDV  	213
MCO  	ORH  	1091
DEN  	BNA  	1014
ORD  	CHA  	501
IAH  	MAF  	429
IAH  	CRW  	975
SDF  	TPA  	727
SEA  	LAX  	954
BMI  	ORD  	116
HOU  	BNA  	670
OGG  	KOA  	84
JNU  	KTN  	234
MIA  	BOS  	1258
BOS  	CVG  	752
ATL  	HDN  	1340
MSY  	LGA  	1183
DFW  	RAP  	835
DFW  	CMH  	926
MDW  	DSM  	306
EWR  	CMH  	463
SGF  	DFW  	364
LAS  	STL  	1371
MSP  	FAR  	223
MTJ  	IAH  	927
RNO  	ORD  	1671
SMF  	DEN  	909
IAD  	ORF  	157
ORD  	FAR  	557
LAR  	DEN  	113
EGE  	LAX  	748
STL  	LAX  	1592
SLC  	JFK  	1990
MDW  	RNO  	1680
PHL  	CLE  	363
JFK  	SYR  	209
MCO  	MHT  	1142
IND  	DEN  	977
GSO  	CLT  	83
DAL  	MEM  	423
MCI  	MSP  	393
ATL  	TYS  	152
ORD  	BNA  	409
EWR  	AVL  	583
TVC  	DTW  	207
SJU  	PHL  	1576
ANC  	BET  	399
LIT  	ORD  	552
GSO  	DTW  	460
AUS  	TPA  	928
HNL  	SFO  	2398
ATL  	STL  	484
OAK  	SEA  	671
CAE  	IAH  	878
ICT  	MDW  	589
HNL  	OAK  	2409
SEA  	EWR  	2402
OMA  	SEA  	1368
BNA  	CLT  	328
PHL  	FLL  	992
SGF  	ATL  	563
LIT  	DAL  	296
SLC  	FCA  	531
ATL  	LEX  	304
AUS  	BWI  	1342
FAR  	DFW  	968
MCO  	PHX  	1849
ORF  	EWR  	284
OTH  	SFO  	412
DTW  	SEA  	1927
BOS  	SRQ  	1220
MIA  	BWI  	946
CPR  	SLC  	320
IAH  	MCI  	643
SAN  	EWR  	2425
GRR  	TPA  	1041
ATL  	FLL  	581
BNA  	DAL  	623
ATL  	MSY  	425
SEA  	CLT  	2279
DTW  	ATL  	594
DCA  	SEA  	2329
LAX  	JFK  	2475
ABQ  	HOU  	759
LAX  	MKE  	1756
MYR  	CLE  	557
CLT  	MCO  	468
SLC  	MEM  	1262
DTW  	MEM  	610
CLT  	BOS  	728
DCA  	DAL  	1184
FLL  	MCI  	1242
ATL  	OKC  	761
DFW  	SAN  	1171
PHX  	ELP  	347
IAH  	SAV  	851
MSP  	ALB  	980
SEA  	TUS  	1216
BLI  	HNL  	2715
SAN  	SMF  	480
ORD  	LSE  	215
LIH  	OAK  	2457
SWF  	MCO  	989
EWR  	FLL  	1065
SLC  	EWR  	1969
OTZ  	ANC  	548
AUS  	SFO  	1504
BDL  	TPA  	1111
ACY  	ATL  	679
MFR  	SLC  	575
DCA  	TPA  	814
LBE  	MYR  	456
BQN  	EWR  	1585
BQN  	FLL  	983
DFW  	SPS  	113
LAX  	ICT  	1203
MCO  	MEM  	684
FLL  	CLE  	1062
SEA  	SFO  	679
WRG  	KTN  	82
SLC  	OMA  	840
MKE  	CLE  	328
LGA  	BNA  	764
CMH  	DAL  	919
OKC  	SFO  	1384
LBE  	ORD  	459
SJU  	BWI  	1565
IND  	ATL  	432
ATL  	GRR  	640
SMF  	SAN  	480
SAN  	SFO  	447
HOU  	MEM  	484
WYS  	SLC  	273
COS  	ATL  	1184
AVP  	ORD  	632
ORD  	SGF  	438
AMA  	DEN  	359
SLC  	EKO  	200
ELP  	DEN  	563
SLC  	TWF  	175
FCA  	MSP  	1026
DAL  	FLL  	1108
IAD  	BOS  	413
TUS  	ORD  	1437
RDU  	IAH  	1042
OMA  	ORD  	416
DEN  	BIS  	516
DFW  	LCH  	295
MSP  	ATW  	236
GSO  	IAD  	239
DTW  	BDL  	549
ATL  	EGE  	1312
TYR  	DFW  	102
FAT  	SAN  	314
DFW  	ONT  	1188
CMH  	LGA  	479
DFW  	CMI  	693
ANC  	CDV  	160
IAH  	FLL  	966
PHL  	JAX  	742
MSP  	XNA  	596
BFL  	SFO  	238
RIC  	IAD  	100
HNL  	DEN  	3365
LAX  	TPA  	2158
DEN  	MCI  	533
EWR  	TYS  	631
SAT  	DTW  	1214
BZN  	MSP  	874
ORD  	SAN  	1723
CAK  	MCO  	861
DEN  	LIH  	3414
STL  	IAH  	667
PHX  	MKE  	1460
BWI  	GRR  	528
CVG  	FLL  	932
BWI  	IND  	516
SMF  	SLC  	532
OKC  	HOU  	419
ATW  	ORD  	160
ORD  	PIT  	413
MSP  	MCI  	393
SDF  	EWR  	642
DEN  	MIA  	1709
OMA  	DFW  	583
CLT  	TTN  	484
GJT  	IAH  	979
MDW  	STL  	251
BOS  	CLT  	728
DFW  	MSY  	447
LAS  	BLI  	954
ORD  	SAV  	773
MCO  	DCA  	759
EWR  	MKE  	725
PBI  	DCA  	857
LBE  	FLL  	980
PHL  	PIT  	268
DEN  	MLI  	752
PDX  	ONT  	838
KOA  	SEA  	2688
SFO  	MSP  	1589
SEA  	MKE  	1694
MEM  	MDW  	480
CMH  	FLL  	973
LGA  	CAE  	617
MIA  	MEM  	859
CHS  	BNA  	439
DEN  	CLE  	1201
SEA  	IAH  	1874
MSP  	PHX  	1276
ORF  	CLT  	290
GFK  	MSP  	284
MDW  	PHX  	1444
SJU  	FLL  	1046
BHM  	ORD  	584
DTW  	DCA  	405
IAH  	AUS  	140
IAD  	DEN  	1452
ORD  	DLH  	397
CMH  	ORD  	296
EWR  	BWI  	169
MSY  	MCO  	551
SCE  	DTW  	301
CLT  	ATL  	226
PSP  	SEA  	987
SJU  	DCA  	1554
IAD  	SMF  	2358
DEN  	MKE  	896
MDW  	BNA  	395
SJT  	DFW  	229
KOA  	HNL  	163
SNA  	LAS  	226
SFO  	DFW  	1464
SAN  	IAH  	1303
DTW  	SCE  	301
DTW  	PIT  	201
DFW  	GRK  	134
MCI  	RSW  	1155
HNL  	LIH  	102
COS  	DFW  	592
SNA  	DFW  	1205
LAS  	IAH  	1222
EWR  	CAK  	382
DFW  	TLH  	767
ISP  	PBI  	1052
MLU  	ATL  	448
LAS  	CAK  	1846
PDX  	DFW  	1616
CHS  	MIA  	489
PHX  	AUS  	872
HLN  	MSP  	913
ORD  	SBN  	84
ATL  	ANC  	3417
MSP  	CID  	220
DTW  	DEN  	1123
TTN  	RSW  	1028
CLT  	CHS  	168
SAN  	MIA  	2267
HOU  	AUS  	148
EUG  	LAX  	748
RST  	ORD  	268
TYR  	IAH  	163
SAT  	MCO  	1041
DEN  	COD  	391
ATL  	PVD  	903
SLC  	ATL  	1590
DTW  	EWR  	488
LAS  	PIT  	1910
MSP  	SMF  	1517
EWR  	ALB  	143
CMX  	ORD  	359
CHS  	MDW  	745
DFW  	SAT  	247
CAE  	IAD  	401
LGA  	CMH  	479
FLL  	MYR  	529
IAH  	EWR  	1400
PBI  	DTW  	1086
EWR  	DEN  	1605
PHX  	IAD  	1956
LGB  	OAK  	353
BUF  	MDW  	468
SFO  	PHX  	651
BDL  	RDU  	532
CLT  	JFK  	541
ORD  	COU  	315
SAT  	PHL  	1496
DFW  	PIB  	462
IAH  	DCA  	1208
SLC  	SJC  	584
MKE  	TPA  	1075
IAH  	GJT  	979
MDW  	FLL  	1166
FLL  	ATL  	581
SJU  	BDL  	1666
TTN  	PBI  	985
ALB  	MCO  	1073
MSP  	BWI  	936
ATL  	CMH  	447
TWF  	SLC  	175
IAD  	DTW  	383
RAP  	ORD  	779
LAX  	RDU  	2239
ORF  	MDW  	704
PHX  	TUL  	935
BIS  	ORD  	716
ORD  	PSP  	1651
AUS  	MCO  	994
MYR  	BWI  	399
LAS  	HNL  	2762
IND  	LGA  	660
IAH  	LAS  	1222
DTW  	MIA  	1145
GTF  	SLC  	463
DFW  	SGF  	364
HNL  	EWR  	4962
TPA  	ORD  	1012
CLE  	MSP  	622
SFO  	TUS  	751
ATL  	SHV  	551
PSC  	SLC  	521
GRI  	DFW  	561
ABQ  	MCI  	718
BWI  	RSW  	919
EWR  	CLT  	529
PDX  	SNA  	859
DEN  	RSW  	1607
LAX  	ASE  	737
PDX  	DAL  	1626
BOS  	JAX  	1010
DTW  	SLC  	1481
MCO  	TTN  	896
IND  	CLT  	427
CMH  	OAK  	2110
MIA  	MSP  	1501
DAY  	ORD  	240
DFW  	PHL  	1303
LAS  	FNT  	1733
DEN  	OTH  	1040
MCO  	CVG  	757
BNA  	DTW  	456
ATL  	GNV  	300
KOA  	PDX  	2607
DAY  	LGA  	549
JAX  	FLL  	319
DEN  	ICT  	420
SMX  	LAX  	134
MSP  	BRD  	114
SFO  	PHL  	2521
MSY  	IAH  	305
PHL  	DEN  	1558
FAT  	SLC  	501
ORD  	AVP  	632
ANC  	ATL  	3417
PHX  	SBP  	509
GJT  	DFW  	773
ORH  	MCO  	1091
IAH  	LGA  	1416
BZN  	LAX  	902
ATL  	LAS  	1747
ERI  	ORD  	398
DAL  	LIT  	296
RDM  	SFO  	462
DEN  	ELP  	563
CLT  	MSY  	651
SFO  	SNA  	372
ATL  	SYR  	794
DEN  	DTW  	1123
BWI  	PBI  	883
LGB  	SMF  	387
IAH  	TPA  	787
ORD  	MEM  	491
DEN  	TYS  	1162
SAN  	FAT  	314
GSO  	DFW  	999
HOU  	EWR  	1411
FNT  	LAS  	1733
DFW  	GSP  	862
MCI  	PHX  	1044
PBI  	IAH  	956
IAH  	DFW  	224
BOI  	ORD  	1437
DEN  	GEG  	836
ROC  	ATL  	749
TPA  	BUF  	1053
SAT  	JFK  	1587
ORD  	SDF  	287
ORD  	LAN  	179
IND  	FLL  	1005
RAP  	SLC  	508
MSY  	BNA  	471
EWR  	PIT  	319
LAS  	MSP  	1299
BOI  	SLC  	290
SFO  	MCI  	1499
FLL  	CLT  	631
JFK  	IND  	665
DFW  	GGG  	140
HPN  	FLL  	1097
ATW  	ATL  	765
DEN  	CVG  	1069
TTN  	MCO  	896
BNA  	BWI  	587
PIT  	DFW  	1067
HNL  	GUM  	3801
BNA  	LAS  	1587
SEA  	LIH  	2701
SEA  	JNU  	909
DTW  	PHL  	453
PIA  	DFW  	672
GEG  	LAS  	806
PHX  	DRO  	353
ELP  	DFW  	551
MSP  	GRB  	252
LAX  	RDM  	726
MSN  	ORD  	108
ATL  	BOS  	946
GSP  	ORD  	578
DFW  	LBB  	282
SMF  	IAD  	2358
SJU  	BOS  	1674
BNA  	ECP  	401
RDU  	TTN  	373
DTW  	SRQ  	1022
BUF  	PHX  	1912
LRD  	DFW  	396
ATL  	ORF  	516
CLE  	LGA  	419
APN  	DTW  	198
PHL  	SLC  	1927
ICT  	DAL  	333
OGG  	ORD  	4184
AZO  	ORD  	122
FLL  	IAG  	1176
IAH  	HDN  	985
BOS  	AUS  	1698
ABR  	MSP  	257
MVY  	JFK  	173
PBI  	BWI  	883
DEN  	KOA  	3329
STL  	DAL  	546
IAH  	LRD  	301
GCK  	DFW  	404
IND  	PHL  	588
SLC  	PIH  	150
SLC  	CLT  	1727
ASE  	DFW  	701
LAX  	SMF  	373
BUR  	JFK  	2465
DEN  	PDX  	991
RIC  	FLL  	805
MFR  	SFO  	329
CVG  	ATL  	373
ATL  	SEA  	2182
SFO  	OTH  	412
DTW  	MCO  	957
ALB  	ATL  	853
MSP  	CVG  	596
PHL  	SAN  	2370
BNA  	RDU  	442
ATL  	MDW  	591
SEA  	GEG  	224
SAN  	HNL  	2614
OKC  	MDW  	691
RSW  	ACY  	982
SFO  	KOA  	2367
STL  	RDU  	667
DTW  	LAN  	74
BDL  	EWR  	116
HDN  	DFW  	769
IAH  	LBB  	458
LAX  	ORD  	1744
BWI  	RDU  	255
PDX  	BZN  	554
DLH  	MSP  	144
PHL  	RSW  	993
SFO  	SAT  	1482
IAH  	PNS  	489
MIA  	MCO  	192
HOU  	OAK  	1642
RDU  	LGA  	431
DAL  	ATL  	721
LNK  	ATL  	841
CLT  	PBI  	590
OMA  	MDW  	423
AUS  	LGB  	1226
PDX  	TUS  	1119
ORD  	PHX  	1440
ABE  	DTW  	425
ATL  	MDT  	620
DEN  	SGF  	637
DTW  	LAS  	1749
MSP  	SYR  	860
FLL  	BQN  	983
MIA  	SEA  	2724
DTW  	DFW  	986
CRP  	DFW  	354
LAS  	ABQ  	486
HOB  	IAH  	501
BUR  	DEN  	850
IND  	RDU  	489
UST  	TTN  	801
DEN  	AMA  	359
CPR  	DEN  	230
PWM  	EWR  	284
DTW  	LAX  	1979
MSP  	RSW  	1416
BUF  	CLT  	546
CLE  	BWI  	314
HOU  	ABQ  	759
DTW  	ELM  	332
FLG  	PHX  	119
BNA  	JAX  	483
MSP  	SJC  	1576
MIA  	BDL  	1194
TYS  	DTW  	443
LAX  	JAC  	784
CLT  	PWM  	813
DEN  	DVL  	638
MDW  	ROC  	523
ORD  	ACY  	720
CHS  	BWI  	472
PHL  	RDU  	337
DEN  	SGU  	517
DTW  	CMH  	155
BTV  	ORD  	763
DCA  	MCO  	759
MRY  	SFO  	77
PAH  	ORD  	342
CIU  	DTW  	284
ATL  	JAC  	1572
SBN  	ORD  	84
MCI  	HOU  	666
CDV  	ANC  	160
ORD  	CRW  	416
EWR  	GRR  	605
RDM  	SLC  	525
GCC  	RKS  	261
CVG  	MCO  	757
IAH  	XNA  	438
MCI  	DEN  	533
LGB  	BOS  	2602
SLC  	TUL  	926
PHX  	ONT  	325
MAF  	LAS  	795
MSY  	SLC  	1428
SNA  	IAH  	1346
ORD  	ABQ  	1118
MSP  	HLN  	913
JFK  	BTV  	266
CVG  	LAX  	1900
PSP  	ORD  	1651
JAX  	LAS  	1965
ATL  	ALB  	853
PIT  	PHL  	268
LAS  	LBE  	1954
FLL  	LBE  	980
PSC  	SFO  	620
OKC  	ATL  	761
MDW  	LAX  	1750
CVG  	LGA  	585
PBI  	LGA  	1035
MSP  	ISN  	546
ACT  	DFW  	89
MSP  	PSC  	1254
MSP  	RAP  	489
PDX  	BUR  	817
SDF  	IAH  	788
IAH  	ECP  	572
DTW  	SBN  	157
SEA  	BIL  	664
PHX  	HOU  	1020
BUF  	FLL  	1166
LGA  	MYR  	563
IND  	HOU  	861
TPA  	MSP  	1306
OMA  	DEN  	472
MSP  	LEX  	650
BDL  	DEN  	1671
DEN  	BZN  	524
MDT  	ATL  	620
LAX  	SEA  	954
LGA  	MKE  	738
OGG  	SFO  	2338
TPA  	LAX  	2158
LAX  	PBI  	2330
ORF  	IAH  	1201
BRW  	SCC  	204
CLT  	SAN  	2077
TPA  	FNT  	1036
OAK  	LAS  	407
MYR  	DFW  	1048
LAS  	BOS  	2381
TTN  	RDU  	373
CLT  	RSW  	600
BOS  	BUF  	395
JFK  	HNL  	4983
ORD  	BHM  	584
BOS  	DEN  	1754
GNV  	MIA  	294
MSP  	MOT  	449
MIA  	PHL  	1013
MEM  	MCO  	684
DSM  	EWR  	1017
TPA  	CMH  	829
PIT  	LAX  	2136
SMF  	SNA  	404
MDW  	BOI  	1448
MDW  	SFO  	1855
MCO  	BHM  	479
EWR  	DAY  	533
LAX  	SBA  	89
ATL  	SJU  	1547
CHS  	DCA  	444
HSV  	ATL  	151
DEN  	GCC  	313
FWA  	ORD  	157
SLC  	MSP  	991
MSY  	SEA  	2086
MKE  	MCO  	1066
EWR  	SJU  	1608
GRR  	ATL  	640
ESC  	DTW  	306
LAS  	CMH  	1771
DEN  	SEA  	1024
TUL  	SLC  	926
CLT  	DTW  	500
GRK  	ATL  	803
ACK  	JFK  	199
SNA  	ORD  	1726
LAS  	PHX  	255
DTW  	PLN  	243
PHX  	BWI  	1999
STL  	AUS  	721
IAH  	RDU  	1042
MIA  	SJU  	1045
LAX  	GEG  	945
LAX  	MIA  	2342
MSN  	SLC  	1174
BUF  	MCO  	1011
MYR  	ACY  	466
ORD  	CAE  	666
DEN  	MDW  	895
MSN  	LGA  	812
SLC  	CNY  	184
MSN  	DTW  	311
IAH  	DAL  	216
STL  	SEA  	1709
BMI  	DFW  	690
TYS  	EWR  	631
KOA  	SFO  	2367
SLC  	JAC  	205
MCO  	ATL  	404
TVC  	LGA  	655
SDF  	ATL  	321
DFW  	BNA  	631
SEA  	FAT  	748
ATL  	BHM  	134
DFW  	PBI  	1102
JFK  	SLC  	1990
BWI  	GSP  	426
DEN  	ORD  	888
LGA  	CAK  	397
MDW  	SMF  	1790
EWR  	MEM  	946
PIT  	LGA  	335
BOI  	MSP  	1142
LEX  	ORD  	323
DFW  	GUC  	678
MSP  	MSO  	1013
BUR  	PDX  	817
LAS  	OMA  	1099
LAX  	STL  	1592
STL  	DFW  	550
LIH  	PHX  	2979
RSW  	MSP  	1416
AEX  	IAH  	190
IAH  	MIA  	964
MSN  	DEN  	826
LIT  	MDW  	544
SEA  	COS  	1068
MYR  	IAG  	650
BOS  	CHS  	818
SEA  	MDW  	1733
LGA  	RDU  	431
ACV  	SFO  	250
MCI  	TPA  	1048
DAL  	AMA  	323
PHL  	SEA  	2378
DFW  	LGA  	1389
XNA  	IAH  	438
ORF  	LGA  	296
EWR  	AUS  	1504
LAS  	AMA  	758
DFW  	MLU  	293
BOS  	BWI  	369
COU  	ORD  	315
BPT  	DFW  	270
MSP  	SFO  	1589
IAD  	MIA  	921
DAL  	BHM  	587
PHL  	MCO  	861
DTW  	PIA  	346
DFW  	ACT  	89
MYR  	PHL  	473
AMA  	LAS  	758
HNL  	ITO  	216
ORD  	AUS  	977
IAD  	EWR  	212
DTW  	CVG  	229
PNS  	IAH  	489
FLL  	PVD  	1188
SRQ  	EWR  	1034
ROC  	LGA  	254
JFK  	ORF  	290
MLU  	IAH  	262
SLC  	ONT  	558
DCA  	MSP  	931
DEN  	ISN  	576
PHX  	IND  	1488
IAH  	DSM  	802
BDL  	DCA  	313
DEN  	PUB  	109
BNA  	LAX  	1797
MCO  	IAH  	854
LAX  	CLE  	2052
DFW  	JLN  	327
HNL  	SJC  	2417
MDT  	DTW  	371
MHT  	MCO  	1142
DAL  	MDW  	793
LAS  	ANC  	2304
EWR  	PBI  	1023
DFW  	PIA  	672
SEA  	SJC  	697
TPA  	PVD  	1136
MCO  	IAD  	758
PNS  	MIA  	530
PIT  	BWI  	210
ORD  	MLI  	139
ABQ  	OAK  	889
LFT  	DFW  	351
DTW  	RIC  	456
STL  	MCO  	882
DTW  	FWA  	128
BDL  	ORD  	783
MSY  	PHL  	1089
IAH  	STL  	667
GSP  	MDW  	562
DTW  	IAH  	1075
PHL  	LAX  	2402
ROA  	ATL  	357
ORD  	MSP  	334
JFK  	FLL  	1069
JFK  	CVG  	589
CMH  	MDW  	283
LGA  	MHT  	195
SJU  	IAH  	2007
STL  	DCA  	719
PBI  	EWR  	1023
MHT  	DTW  	610
DFW  	TYS  	772
RSW  	CMH  	930
ATL  	CAK  	528
BOS  	LGA  	184
DEN  	PSP  	776
DTW  	CAK  	133
BNA  	IAH  	657
PDX  	MDW  	1751
XNA  	EWR  	1131
DTW  	ACY  	497
EWR  	SDF  	642
DCA  	RSW  	892
HNL  	KOA  	163
ORD  	MYR  	753
FAT  	LAX  	209
CMH  	TPA  	829
MCO  	CLT  	468
MCO  	LBE  	824
HLN  	SLC  	402
SFO  	MCO  	2446
GSP  	ORD  	577
SJU  	CLT  	1475
BWI  	FLL  	925
CMX  	ORD  	360
STL  	CLT  	575
SGF  	CLT  	708
FLL  	ORH  	1211
PDX  	SBA  	784
SEA  	MIA  	2724
MSY  	MSP  	1039
ABE  	ORD  	655
PDX  	PHL  	2406
FLL  	BDL  	1173
MDW  	JAX  	849
PHL  	STT  	1605
ATL  	MLU  	448
ATL  	ABE  	692
PIT  	PHX  	1814
BOS  	LAX  	2611
STL  	MKE  	317
RSW  	JFK  	1074
BHM  	IAH  	562
FAR  	ORD  	557
SJC  	OGG  	2355
STL  	OMA  	342
TLH  	MIA  	402
LAX  	ELP  	715
MSP  	LAX  	1535
BOS  	RDU  	612
SEA  	SAN  	1050
IAD  	MSP  	908
ATL  	MGM  	147
MIA  	LAS  	2174
GTF  	DEN  	624
AUS  	FLL  	1105
MSP  	BOS  	1124
HIB  	MSP  	174
DEN  	MFR  	964
STL  	ORD  	258
DTW  	ORF  	529
DFW  	GCK  	404
ATL  	ROA  	357
MSN  	ATL  	707
OAK  	DFW  	1457
IAH  	ICT  	542
ECP  	IAH  	572
SLC  	ANC  	2125
DFW  	PNS  	604
DAL  	OMA  	585
BWI  	OAK  	2447
DFW  	LRD  	396
COS  	SEA  	1068
BOS  	SLC  	2105
DEN  	IAD  	1452
BOS  	MVY  	70
GSO  	LGA  	461
EWR  	SAT  	1569
ORD  	MDT  	594
LGB  	AUS  	1226
DFW  	CVG  	812
ORD  	CVG  	264
BWI  	ORF  	159
LIT  	LGA  	1085
MCI  	SFO  	1499
FLL  	TTN  	1026
SFO  	AUS  	1504
STL  	HOU  	687
MDW  	CHS  	745
MDW  	CLT  	584
LIH  	SJC  	2466
DCA  	PWM  	482
TPA  	PHL  	920
ATL  	SGF  	563
SMF  	LAS  	397
HOU  	HRL  	277
DFW  	PHX  	868
SFO  	RDU  	2400
IAH  	SHV  	192
TPA  	DCA  	814
FLL  	SFO  	2584
DAY  	MSP  	574
ORF  	MCO  	655
MSP  	DCA  	931
GUC  	DEN  	152
DAL  	DEN  	651
LAX  	SAT  	1211
LGA  	SAV  	722
