Destination_Airport Origin_Airport  Distance 
JFK  	LGB  	2465
SAN  	OGG  	2541
HOU  	BOS  	1609
IAD  	STT  	1606
LNK  	DEN  	423
CHS  	EWR  	628
BOI  	DEN  	649
SMF  	DAL  	1442
CMH  	MSP  	626
FWA  	DTW  	128
MKE  	MCI  	436
XNA  	ATL  	589
SJC  	JFK  	2569
TPA  	MHT  	1204
IND  	DFW  	761
CLE  	JFK  	425
LAS  	TUL  	1076
BWI  	MCI  	967
ABQ  	PHX  	328
PBG  	FLL  	1334
IAD  	PDX  	2327
JAN  	ATL  	341
BZN  	EWR  	1882
TUS  	PHX  	110
OMA  	ATL  	821
MKE  	ORD  	67
SAN  	ATL  	1892
BOS  	SAV  	901
CHA  	ORD  	501
MSY  	FLL  	674
LAX  	IND  	1814
PSP  	DEN  	776
PHX  	BUF  	1912
SLC  	FAR  	866
PWM  	ORD  	900
MSP  	FLL  	1487
OKC  	STL  	462
SAN  	BWI  	2295
LIH  	SFO  	2447
SAF  	DEN  	303
LAS  	SEA  	867
MCI  	DCA  	949
LAX  	TUS  	451
CLT  	PHL  	449
IAH  	HOB  	501
ATL  	COS  	1184
ICT  	MSP  	545
EVV  	DFW  	642
OGG  	SAN  	2541
JFK  	SEA  	2422
TPA  	PIT  	873
PSE  	MCO  	1179
FCA  	SLC  	531
SEA  	SMF  	605
SJU  	CLE  	1839
ROC  	CLT  	573
COD  	SLC  	298
HIB  	INL  	86
LIT  	IAH  	374
MCI  	SLC  	920
DEN  	SMF  	909
ATL  	TTN  	701
IAH  	GRK  	166
HOU  	FLL  	957
LAS  	SFO  	414
PSP  	IAH  	1269
BNA  	DCA  	562
RDU  	MCO  	534
GSP  	ATL  	153
MIA  	SLC  	2088
TPA  	SJU  	1237
GCC  	SLC  	410
SEA  	SBA  	908
ATL  	CHS  	259
SJU  	JFK  	1598
MSY  	SFO  	1911
MHT  	EWR  	209
MKE  	LAS  	1524
MYR  	CRW  	356
MCO  	STL  	882
CAK  	DCA  	274
SLC  	GEG  	546
SRQ  	JFK  	1041
MSP  	RHI  	190
ORD  	BDL  	783
ORD  	JAN  	677
DFW  	FAT  	1313
GUM  	HNL  	3801
SFO  	EUG  	451
CMH  	MSY  	806
LAS  	SMF  	397
CLT  	BNA  	328
ATL  	MKE  	669
OAK  	BOI  	511
PSP  	SLC  	541
DTW  	BGR  	750
DAL  	LAS  	1067
SIT  	SEA  	861
PLN  	DTW  	243
HSV  	DEN  	1048
SMF  	SEA  	605
DAL  	PHX  	879
EWR  	HNL  	4962
BNA  	DFW  	631
PHL  	PBI  	951
ABQ  	SFO  	896
PBI  	ORD  	1144
SJC  	LAX  	308
FAR  	MSP  	223
DCA  	BTR  	985
RSW  	BDL  	1180
CWA  	ORD  	212
PHL  	LGA  	96
BWI  	ROC  	277
RSW  	MKE  	1183
RDU  	LAS  	2026
DCA  	DTW  	405
EWR  	PWM  	284
LGA  	GSO  	461
SLC  	DAL  	999
MSY  	TPA  	488
DAL  	ABQ  	580
BTR  	ATL  	448
IAH  	MFE  	316
GEG  	SLC  	546
DTW  	EVV  	363
BOS  	SJC  	2689
FWA  	DFW  	859
HOU  	MDW  	937
TUS  	SEA  	1216
SPI  	DFW  	630
MYR  	ATL  	317
LAX  	SBP  	156
IND  	DTW  	231
IAH  	LIT  	374
PDX  	LIH  	2631
IMT  	MSP  	257
MDW  	ATL  	591
LGA  	XNA  	1147
PHX  	SAN  	304
SLC  	BWI  	1865
DCA  	JAX  	634
CMI  	ORD  	135
LGA  	LEX  	604
HOU  	BWI  	1246
ATL  	VLD  	208
LAS  	ONT  	197
DEN  	ATL  	1199
LGA  	MSY  	1183
JFK  	SAT  	1587
DAL  	DTW  	981
SAT  	LAX  	1211
LGA  	RIC  	292
PHL  	ORD  	678
PHX  	CLE  	1737
RSW  	CLE  	1025
DCA  	MIA  	919
RDU  	BOS  	612
PIT  	FLL  	994
IND  	MCI  	451
MSP  	HIB  	174
EVV  	DTW  	363
IAD  	ATL  	534
ORD  	CMX  	360
SAV  	IAD  	515
IND  	IAH  	844
OAK  	LAX  	337
BWI  	MYR  	399
EWR  	DCA  	199
MKG  	ORD  	118
